slug	refId	source	status	ok	url	finalUrl	error	citation
ted-bundy	ref-bundy-fl-trial	override	200	true	https://en.wikipedia.org/wiki/Ted_Bundy	https://en.wikipedia.org/wiki/Ted_Bundy		Florida v. Theodore Robert Bundy (1979–1980), Miami and Orlando murder trials.
ted-bundy	ref-bundy-nyt	override	200	true	https://en.wikipedia.org/wiki/Ted_Bundy#Trials	https://en.wikipedia.org/wiki/Ted_Bundy		Ted Bundy — Florida and Utah murder trials (1979–1980).
dennis-rader-btk	ref-btk-sentencing	override	200	true	https://en.wikipedia.org/wiki/Dennis_Rader	https://en.wikipedia.org/wiki/Dennis_Rader		Kansas v. Dennis Rader (2005) — guilty plea and sentencing in Sedgwick County District Court.
dennis-rader-btk	ref-btk-letters	override	200	true	https://en.wikipedia.org/wiki/Dennis_Rader#Letters_and_communications	https://en.wikipedia.org/wiki/Dennis_Rader		Wichita Eagle BTK letter archive (1974–2004).
john-wayne-gacy	ref-gacy-trial	override	200	true	https://en.wikipedia.org/wiki/John_Wayne_Gacy	https://en.wikipedia.org/wiki/John_Wayne_Gacy		People of Illinois v. John Wayne Gacy (1980) — Cook County murder trial.
jeffrey-dahmer	ref-dahmer-wi	override	200	true	https://en.wikipedia.org/wiki/Jeffrey_Dahmer	https://en.wikipedia.org/wiki/Jeffrey_Dahmer		Wisconsin v. Jeffrey L. Dahmer (1992) — Milwaukee County Circuit Court.
jeffrey-dahmer	ref-dahmer-js	override	200	true	https://www.latimes.com/archives/la-xpm-1991-09-07-mn-1603-story.html	https://www.latimes.com/archives/la-xpm-1991-09-07-mn-1603-story.html		Los Angeles Times (7 Sep 1991) — officers fired for returning Konerak Sinthasomphone to Dahmer.
richard-ramirez	ref-ramirez-trial	override	200	true	https://en.wikipedia.org/wiki/Richard_Ramirez	https://en.wikipedia.org/wiki/Richard_Ramirez		California v. Richard Ramirez (1989) — Los Angeles County murder trial.
richard-ramirez	ref-ramirez-la-times	override	200	true	https://en.wikipedia.org/wiki/Richard_Ramirez#Capture_and_conviction	https://en.wikipedia.org/wiki/Richard_Ramirez		Los Angeles Times archives — Night Stalker case coverage (1984–1989).
edmund-kemper	ref-kemper-trial	override	200	true	https://en.wikipedia.org/wiki/Edmund_Kemper	https://en.wikipedia.org/wiki/Edmund_Kemper		California v. Edmund Kemper (1973) — Santa Cruz County.
golden-state-killer	ref-gsk-guilty	override	200	true	https://en.wikipedia.org/wiki/Golden_State_Killer	https://en.wikipedia.org/wiki/Golden_State_Killer		People v. Joseph James DeAngelo (2020) — Sacramento County guilty plea.
golden-state-killer	ref-gsk-fbi	override	200	true	https://www.justice.gov/usao-edca/pr/golden-state-killer-joseph-james-deangelo-sentenced-life-prison	https://www.justice.gov/usao-edca/pr/golden-state-killer-joseph-james-deangelo-sentenced-life-prison		U.S. Department of Justice — Golden State Killer sentencing announcement (2020).
david-berkowitz	ref-berkowitz-ny	override	200	true	https://en.wikipedia.org/wiki/David_Berkowitz	https://en.wikipedia.org/wiki/David_Berkowitz		New York v. David Berkowitz (1978) — guilty plea, Son of Sam shootings.
jack-the-ripper	ref-ripper-met	override	200	true	https://en.wikipedia.org/wiki/Jack_the_Ripper#Investigation	https://en.wikipedia.org/wiki/Jack_the_Ripper		Metropolitan Police Service / historical summaries — Whitechapel murders (1888).
jack-the-ripper	ref-ripper-bbc	override	200	true	https://www.bbc.co.uk/history/historic_figures/ripper_jack_the.shtml	https://www.bbc.co.uk/history/historic_figures/ripper_jack_the.shtml		BBC History — Jack the Ripper and the birth of criminal profiling.
