slug	tier	provenance-verified	public-record	override	verified/total-refs	catalog-kind	name
ted-bundy	verified	no	no	override	5/5	curated	Ted Bundy
dennis-rader-btk	verified	no	no	override	3/3	curated	Dennis Rader (BTK)
ted-kaczynski	verified	no	no	override	3/3	curated	Ted Kaczynski
zodiac-killer	verified	no	no	override	3/3	curated	Zodiac Killer
richard-ramirez	verified	yes	yes	override	2/2	curated	Richard Ramirez
edmund-kemper	verified	yes	yes	override	2/2	curated	Edmund Kemper
golden-state-killer	verified	yes	yes	override	3/3	curated	Joseph DeAngelo (Golden State Killer)
timothy-mcveigh	verified	yes	yes	override	3/3	curated	Timothy McVeigh
robert-pickton	verified	yes	yes	override	2/2	curated	Robert Pickton
jack-the-ripper	verified	yes	yes	override	3/3	curated	Jack the Ripper
ian-brady-myra-hindley	verified	yes	yes	override	2/2	curated	Ian Brady & Myra Hindley
aileen-wuornos	verified	no	no	override	3/3	curated	Aileen Wuornos
charles-manson	verified	no	no	override	2/2	curated	Charles Manson
harold-shipman	verified	no	no	override	2/2	curated	Harold Shipman
john-wayne-gacy	verified	yes	yes	override	3/3	curated	John Wayne Gacy
jeffrey-dahmer	verified	yes	yes	override	3/3	curated	Jeffrey Dahmer
gary-ridgway	verified	yes	yes	override	2/2	curated	Gary Ridgway
david-berkowitz	verified	yes	yes	override	2/2	curated	David Berkowitz
samuel-little	verified	yes	yes	override	2/2	curated	Samuel Little
dean-corll	curated	no	no	-	3/7	curated	Dean Corll
richard-chase	curated	no	no	-	3/7	curated	Richard Chase
albert-fish	curated	no	no	-	3/8	curated	Albert Fish
hh-holmes	curated	no	no	-	3/8	curated	H.H. Holmes
wayne-williams	curated	no	no	-	3/7	curated	Wayne Williams
dorothea-puente	curated	no	no	-	3/7	curated	Dorothea Puente
paul-bernardo	curated	no	no	-	3/7	curated	Paul Bernardo & Karla Homolka
clifford-olson	curated	no	no	-	3/7	curated	Clifford Olson
ivan-milat	curated	no	no	-	3/7	curated	Ivan Milat
martin-bryant	curated	no	no	-	2/6	curated	Martin Bryant
fred-west	curated	no	no	-	3/7	curated	Fred & Rose West
peter-sutcliffe	curated	no	no	-	3/7	curated	Peter Sutcliffe
dennis-nilsen	verified	yes	yes	override	2/2	curated	Dennis Nilsen
john-christie	curated	no	no	-	3/8	curated	John Christie
marc-dutroux	curated	no	no	-	3/7	curated	Marc Dutroux
michel-fourniret	curated	no	no	-	3/7	curated	Michel Fourniret & Monique Olivier
guy-georges	curated	no	no	-	3/7	curated	Guy Georges
fritz-haarmann	curated	no	no	-	3/8	curated	Fritz Haarmann
beate-zschaepe	curated	no	no	-	2/5	curated	NSU Complex (Zschäpe et al.)
jack-unterweger	curated	no	no	-	3/7	curated	Jack Unterweger
monster-of-florence	curated	no	no	-	3/7	curated	Monster of Florence
willem-van-eijk	curated	no	no	-	3/7	curated	Willem van Eijk
anders-breivik	verified	yes	yes	override	2/2	curated	Anders Breivik
malcolm-macarthur	curated	no	no	-	1/4	curated	Malcolm MacArthur
diogo-alves	curated	no	no	-	3/8	curated	Diogo Alves
moses-sithole	curated	no	no	-	3/7	curated	Moses Sithole
andrei-chikatilo	curated	no	no	-	3/7	curated	Andrei Chikatilo
serhiy-tkach	curated	no	no	-	3/7	curated	Serhiy Tkach
bela-kiss	curated	no	no	-	3/8	curated	Béla Kiss
tsutomu-miyazaki	curated	no	no	-	3/7	curated	Tsutomu Miyazaki
shoko-asahara	curated	no	no	-	3/7	curated	Aum Shinrikyo (Tokyo subway attack)
